Tonic,Scale_Type,FL_Stamp,Degree,Roman,PitchClass,MIDI,Frequency_Hz,Semitone_Offset,Cents_from_Tonic,ET_Ratio,Interval_Label,Hue_deg,Color_Name,Hex,Emotion_Primary,Valence,Arousal
G,Locrian,Locrian,6,VI,D#,75,622.25397,8,800,2^(8/12),m6,90,Yellow-Green,#ADFF2F,"Playful, Curious → Exploration",+,Medium
G,Locrian,Locrian,7,VII,F,77,698.45646,10,1000,2^(10/12),m7,150,Spring Green,#00FF7F,"Trusting, Intimate → Bond",++,Low-Med
G,Harmonic Minor,Harmonic Minor,1,I,G,67,391.99544,0,0,2^(0/12),P1,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
G,Harmonic Minor,Harmonic Minor,2,II,A,69,440.0,2,200,2^(2/12),M2,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
G,Harmonic Minor,Harmonic Minor,3,III,A#,70,466.16376,3,300,2^(3/12),m3,300,Magenta,#FF00FF,"Loving, Thankful → Connection",++,Med
G,Harmonic Minor,Harmonic Minor,4,IV,C,72,523.25113,5,500,2^(5/12),P4,0,Red,#FF0000,Angry → Courageous (assertive action),− → +,High
G,Harmonic Minor,Harmonic Minor,5,V,D,74,587.32954,7,700,2^(7/12),P5,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
G,Harmonic Minor,Harmonic Minor,6,VI,D#,75,622.25397,8,800,2^(8/12),m6,90,Yellow-Green,#ADFF2F,"Playful, Curious → Exploration",+,Medium
G,Harmonic Minor,Harmonic Minor,7,VII,F#,78,739.98885,11,1100,2^(11/12),M7,180,Cyan,#00FFFF,"Content, Clear-minded → Stability",+,Low
G,Melodic Minor (Ascending),Melodic Minor,1,I,G,67,391.99544,0,0,2^(0/12),P1,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
G,Melodic Minor (Ascending),Melodic Minor,2,II,A,69,440.0,2,200,2^(2/12),M2,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
G,Melodic Minor (Ascending),Melodic Minor,3,III,A#,70,466.16376,3,300,2^(3/12),m3,300,Magenta,#FF00FF,"Loving, Thankful → Connection",++,Med
G,Melodic Minor (Ascending),Melodic Minor,4,IV,C,72,523.25113,5,500,2^(5/12),P4,0,Red,#FF0000,Angry → Courageous (assertive action),− → +,High
G,Melodic Minor (Ascending),Melodic Minor,5,V,D,74,587.32954,7,700,2^(7/12),P5,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
G,Melodic Minor (Ascending),Melodic Minor,6,VI,E,76,659.25511,9,900,2^(9/12),M6,120,Green,#00FF00,"Calm, Peaceful → Center",++,Low-Med
G,Melodic Minor (Ascending),Melodic Minor,7,VII,F#,78,739.98885,11,1100,2^(11/12),M7,180,Cyan,#00FFFF,"Content, Clear-minded → Stability",+,Low
G,Melodic Minor (Descending=Nat),Natural Minor,1,I,G,67,391.99544,0,0,2^(0/12),P1,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
G,Melodic Minor (Descending=Nat),Natural Minor,2,II,A,69,440.0,2,200,2^(2/12),M2,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
G,Melodic Minor (Descending=Nat),Natural Minor,3,III,A#,70,466.16376,3,300,2^(3/12),m3,300,Magenta,#FF00FF,"Loving, Thankful → Connection",++,Med
G,Melodic Minor (Descending=Nat),Natural Minor,4,IV,C,72,523.25113,5,500,2^(5/12),P4,0,Red,#FF0000,Angry → Courageous (assertive action),− → +,High
G,Melodic Minor (Descending=Nat),Natural Minor,5,V,D,74,587.32954,7,700,2^(7/12),P5,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
G,Melodic Minor (Descending=Nat),Natural Minor,6,VI,D#,75,622.25397,8,800,2^(8/12),m6,90,Yellow-Green,#ADFF2F,"Playful, Curious → Exploration",+,Medium
G,Melodic Minor (Descending=Nat),Natural Minor,7,VII,F,77,698.45646,10,1000,2^(10/12),m7,150,Spring Green,#00FF7F,"Trusting, Intimate → Bond",++,Low-Med
D,Ionian (Major),Major,1,I,D,62,293.66477,0,0,2^(0/12),P1,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
D,Ionian (Major),Major,2,II,E,64,329.62756,2,200,2^(2/12),M2,120,Green,#00FF00,"Calm, Peaceful → Center",++,Low-Med
D,Ionian (Major),Major,3,III,F#,66,369.99442,4,400,2^(4/12),M3,180,Cyan,#00FFFF,"Content, Clear-minded → Stability",+,Low
D,Ionian (Major),Major,4,IV,G,67,391.99544,5,500,2^(5/12),P4,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
D,Ionian (Major),Major,5,V,A,69,440.0,7,700,2^(7/12),P5,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
D,Ionian (Major),Major,6,VI,B,71,493.8833,9,900,2^(9/12),M6,330,Rose,#FF007F,"Proud, Confident → Claim",++,Med-High
D,Ionian (Major),Major,7,VII,C#,73,554.36526,11,1100,2^(11/12),M7,30,Orange,#FFA500,"Energetic, Provoked → Drive",+,High
D,Dorian,Dorian,1,I,D,62,293.66477,0,0,2^(0/12),P1,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
D,Dorian,Dorian,2,II,E,64,329.62756,2,200,2^(2/12),M2,120,Green,#00FF00,"Calm, Peaceful → Center",++,Low-Med
D,Dorian,Dorian,3,III,F,65,349.22823,3,300,2^(3/12),m3,150,Spring Green,#00FF7F,"Trusting, Intimate → Bond",++,Low-Med
D,Dorian,Dorian,4,IV,G,67,391.99544,5,500,2^(5/12),P4,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
D,Dorian,Dorian,5,V,A,69,440.0,7,700,2^(7/12),P5,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
D,Dorian,Dorian,6,VI,B,71,493.8833,9,900,2^(9/12),M6,330,Rose,#FF007F,"Proud, Confident → Claim",++,Med-High
D,Dorian,Dorian,7,VII,C,72,523.25113,10,1000,2^(10/12),m7,0,Red,#FF0000,Angry → Courageous (assertive action),− → +,High
D,Phrygian,Phrygian,1,I,D,62,293.66477,0,0,2^(0/12),P1,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
D,Phrygian,Phrygian,2,II,D#,63,311.12698,1,100,2^(1/12),m2,90,Yellow-Green,#ADFF2F,"Playful, Curious → Exploration",+,Medium
D,Phrygian,Phrygian,3,III,F,65,349.22823,3,300,2^(3/12),m3,150,Spring Green,#00FF7F,"Trusting, Intimate → Bond",++,Low-Med
D,Phrygian,Phrygian,4,IV,G,67,391.99544,5,500,2^(5/12),P4,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
D,Phrygian,Phrygian,5,V,A,69,440.0,7,700,2^(7/12),P5,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
D,Phrygian,Phrygian,6,VI,A#,70,466.16376,8,800,2^(8/12),m6,300,Magenta,#FF00FF,"Loving, Thankful → Connection",++,Med
D,Phrygian,Phrygian,7,VII,C,72,523.25113,10,1000,2^(10/12),m7,0,Red,#FF0000,Angry → Courageous (assertive action),− → +,High
D,Lydian,Lydian,1,I,D,62,293.66477,0,0,2^(0/12),P1,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
D,Lydian,Lydian,2,II,E,64,329.62756,2,200,2^(2/12),M2,120,Green,#00FF00,"Calm, Peaceful → Center",++,Low-Med
D,Lydian,Lydian,3,III,F#,66,369.99442,4,400,2^(4/12),M3,180,Cyan,#00FFFF,"Content, Clear-minded → Stability",+,Low
D,Lydian,Lydian,4,IV,G#,68,415.3047,6,600,2^(6/12),TT,240,Blue,#0000FF,"Reflective, Sensitive (safe processing)",−,Low
D,Lydian,Lydian,5,V,A,69,440.0,7,700,2^(7/12),P5,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
D,Lydian,Lydian,6,VI,B,71,493.8833,9,900,2^(9/12),M6,330,Rose,#FF007F,"Proud, Confident → Claim",++,Med-High
D,Lydian,Lydian,7,VII,C#,73,554.36526,11,1100,2^(11/12),M7,30,Orange,#FFA500,"Energetic, Provoked → Drive",+,High
D,Mixolydian,Mixolydian,1,I,D,62,293.66477,0,0,2^(0/12),P1,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
D,Mixolydian,Mixolydian,2,II,E,64,329.62756,2,200,2^(2/12),M2,120,Green,#00FF00,"Calm, Peaceful → Center",++,Low-Med
D,Mixolydian,Mixolydian,3,III,F#,66,369.99442,4,400,2^(4/12),M3,180,Cyan,#00FFFF,"Content, Clear-minded → Stability",+,Low
D,Mixolydian,Mixolydian,4,IV,G,67,391.99544,5,500,2^(5/12),P4,210,Azure,#007FFF,"Interested, Inquisitive → Focus",+,Med
D,Mixolydian,Mixolydian,5,V,A,69,440.0,7,700,2^(7/12),P5,270,Violet,#8B00FF,"Creative, Inspired → Imagination",+,Med
D,Mixolydian,Mixolydian,6,VI,B,71,493.8833,9,900,2^(9/12),M6,330,Rose,#FF007F,"Proud, Confident → Claim",++,Med-High
D,Mixolydian,Mixolydian,7,VII,C,72,523.25113,10,1000,2^(10/12),m7,0,Red,#FF0000,Angry → Courageous (assertive action),− → +,High
D,Aeolian (Natural Minor),Natural Minor,1,I,D,62,293.66477,0,0,2^(0/12),P1,60,Yellow,#FFFF00,"Joyful, Optimistic → Shine",++,Med-High
